Temp(C);Modulus 0,1;Modulus 1;Modulus 10;Loss Modulus 0,1;Loss Modulus 1;Loss Modulus 10;Tan Delta 0,1;Tan Delta 1;Tan Delta 10
-100.95;5959946212.4411;6248143891.52108;6189088240.20652;340425977.108504;-55417995.6304695;-471492132.972626;0.0571189680198591;-0.00886951334550303;-0.0761811941716464
-100.741666666667;6066970100.68358;6190489963.0888;6405783326.10472;46942607.0218621;-15323431.6404193;-552900374.567835;0.00773740536756114;-0.00247531806557902;-0.0863126875232676
-100.3;6036741775.48831;6367151750.67982;5955031598.54446;67583811.4826667;-158430857.808094;-342846550.727267;0.0111954120279064;-0.0248825320978377;-0.0575725829584289
-100.3125;6177175831.95082;6323880581.84548;6085232354.27328;-26654504.343074;-12428293.5528369;-284972943.889372;-0.00431499848283519;-0.00196529542137717;-0.0468302485917819
-100.183333333333;5962649206.58464;6270565436.50442;6132773200.79419;173870388.767964;-252213401.337505;-462329767.126256;0.0291599225015546;-0.0402217956086115;-0.0753867381018404
-100.216666666667;5820773389.1581;5964110577.40914;6262591017.02117;286550503.733569;-45641201.5728229;-463523860.994916;0.0492289399665178;-0.00765264174438728;-0.0740147104824663
-100.2;5969296342.0336;6154580283.02379;6061877573.6621;24171528.0595027;294935416.155238;-313336499.913534;0.00404930944528514;0.0479212883076301;-0.0516896780091587
-100.075;5959574813.71194;6224135183.98914;5952238277.20862;4390907.71755836;-52464525.8186595;-546739680.452542;0.000736782044829045;-0.0084292073143942;-0.0918544680151721
-100.141666666667;6067086565.76332;6032508304.76679;6115005756.32535;348110813.904201;240554973.505063;-427052742.847103;0.0573769320959745;0.0398764429905519;-0.0698368505058823
-100.033333333333;6004620549.35887;6034930826.63496;6191059401.44361;226570635.660526;14098968.9518206;-399272140.891663;0.0377327149647645;0.00233622710132738;-0.06449173154413
-100.466666666667;6001749498.18986;6048826979.85415;6046172355.33971;-2521819.65064496;-63287658.548801;-373124161.82067;-0.000420180757528376;-0.0104627986152659;-0.0617124587080525
-93.6375;5782700012.58394;5622689663.54326;5837618639.65619;203932232.111561;100798049.538595;-368556294.97499;0.0352659193227691;0.0179270163516502;-0.0631346988772628
-91.2375;5562596662.66793;5777936567.07457;5693036219.0318;163376349.439687;85958901.3207044;-300841906.443619;0.0293705187248518;0.0148770932880328;-0.0528438419973344
-86.9791666666667;5584136969.58277;5406314974.5187;5671296621.24353;586009799.846786;97267384.6392806;-341334391.051917;0.104941874284035;0.0179914387337264;-0.060186305504344
-83.1916666666667;5549709723.56334;5724698367.74677;5591021990.85864;54355482.2157342;86120637.2511438;-262505658.624454;0.00979429284110985;0.0150436986752615;-0.046951283513757
