Temp(C);Modulus ,1;Modulus 1,;Modulus 10,;Loss Modulus,1;Loss Modulus1,;Loss Modulus10,;Tan Delta,1;Tan Delta1,;Tan Delta10,
-103.354166666667;5760483697.42805;6054343311.62328;6024662832.94698;285840854.593385;-24617189.7247653;-293632149.352393;0.049620981432689;-0.00406603795947689;-0.0487383539119587
-101.9;5804156070.74656;6211243649.59524;5827265423.16211;120012384.790478;-119321457.001688;-286385731.452743;0.0206769741074591;-0.0192105580996591;-0.0491458189486997
-100.620833333333;5698317866.46076;5903066771.88497;5973035771.08635;228860819.299288;-19098476.3320278;-297572392.818639;0.0401628734413573;-0.00323534817918539;-0.0498192885867345
-99.65;5794291117.08703;5717801524.11027;6032941375.75003;214281480.960721;-15876854.5886696;-233136816.312022;0.0369814834344131;-0.00277674111662002;-0.0386439717861567
-99.9541666666667;5697930728.55357;5643089530.71871;5924996169.31704;141215167.360994;234492660.785159;-351720317.703122;0.0247835879529623;0.0415539501028071;-0.0593621173165525
-101.204166666667;5762284719.34295;6002113449.63616;5794178415.58663;-43063914.6770166;-210318944.35615;-219529354.438356;-0.00747340972799536;-0.0350408145598945;-0.0378879176118932
-100.575;5845333480.47797;5972076294.26044;5997937602.78037;47044695.8071204;36398789.6566206;-322875861.5398;0.00804824839579102;0.00609482998259789;-0.0538311471246599
-100.258333333333;5820785474.61668;5996323633.07064;5986642901.81494;189968582.972361;136698812.988318;-295038601.356847;0.0326362453659866;0.0227971039178744;-0.0492828127876813
-100.033333333333;5688021413.31339;5785073467.91665;5972170693.9315;143040240.465362;-182250516.79265;-250513543.973908;0.0251476269288583;-0.0315035786154472;-0.0419468157915283
-98.5458333333333;5771507183.07006;5490346483.91457;5911467031.92792;151878064.553543;291905506.142784;-282640366.405271;0.0263151478003972;0.0531670463782203;-0.0478122207023615
-93.8458333333333;5666280857.29173;5850501592.97935;5570316789.35996;-52331077.6778387;-90391525.3702216;-60445618.5743108;-0.00923552485233692;-0.0154502180597117;-0.0108513789897497
-89.9125;5521595782.99867;5659395819.79989;5656001400.25821;88729448.0037887;25810031.9273218;-207000088.935827;0.0160695298045887;0.00456056313237946;-0.0365983093509094
-85.6666666666667;5442697558.27591;5320090064.1802;5512624095.61883;225771306.823549;39346048.5671557;-214579470.27372;0.0414815088301668;0.00739574858554933;-0.0389251047326549
-81.7916666666667;5263212259.40839;5316866427.00602;5448486757.30221;140921504.500494;-29627519.5727077;-131062575.950299;0.0267748092903884;-0.0055723648467489;-0.0240548581263679
-77.8166666666667;5230332010.29179;5416575422.3422;5095810555.93372;99927294.3079536;7587803.22310083;-17855161.7136086;0.0191053443856576;0.00140084880786535;-0.00350389040519129
-73.7833333333333;5237547162.64609;5196992913.67999;5224716252.42526;160303702.31944;92201964.1725679;-129958653.482603;0.030606636530687;0.0177414065602948;-0.0248738203576658
-69.5375;4953776733.04528;5089505236.38271;5308742894.6528;216962409.480782;187838154.604029;-101919854.237317;0.0437973734329781;0.0369069577257243;-0.0191984912925384
-65.6916666666667;5000289198.63349;5260157239.35903;5162042981.55951;160804661.054065;36764630.5871226;-117796060.402845;0.0321590721388697;0.00698926456266972;-0.0228196589651908
-61.8375;5049765734.66536;5242912317.96044;5240511871.90077;217949854.567306;6570096.51876149;-98416747.0643968;0.0431603892178869;0.0012531387367007;-0.0187799874268199
-57.9916666666667;4919072018.1181;5030601827.24873;5215470839.44422;250037293.988348;82281683.5294757;-166142071.742125;0.050830175502087;0.0163562305972596;-0.0318556227916385
-53.9625;4837816494.97949;4840120547.67725;4985628463.09556;224310401.013533;3481915.6401449;-93833699.7584514;0.046366041631863;0.000719386140457979;-0.0188208368218819
-50.3083333333333;4719862754.69517;4917293059.53487;4934290734.90805;190479601.352335;119546823.557464;-129810360.681925;0.0403570212211896;0.0243115108475499;-0.02630780544883
-46.2291666666667;4733122228.03542;4918055610.687;5022377103.28835;60161197.789156;114222655.669501;-120270537.446932;0.012710679101589;0.0232251655351952;-0.0239469348823261
