Temp(C);Modulus 10;Modulus 0,1;Modulus 1;Loss Modulus10;Loss Modulus 0,1;Loss Modulus 1;Tan Delta10,;Tan Delta,1;Tan Delta1,
-101.720833333333;5400192678.6074;5412247339.28602;5580138868.31718;181921727.830194;-13208223.7439005;-245065264.240077;0.0336880068281393;-0.00244043239635884;-0.0439174131725474
-101.1125;5587310093.983;5570345118.20774;5531063811.95539;134075222.700479;-59750960.1889205;-260863226.726515;0.0239963811646798;-0.0107266172779157;-0.0471633008758025
-100.65;5539618017.73992;5653096524.19017;5662167583.99049;123810198.471573;124460122.247281;-299621265.511974;0.0223499523026835;0.0220162740393169;-0.0529163542172681
-100.4;5431279290.12981;5763035199.87443;5621459160.3755;140369652.805204;-12822551.4676227;-314922424.679934;0.0258446758685925;-0.0022249649746894;-0.056021473374699
-100.033333333333;5569281016.74324;5760101405.10035;5647498719.73721;68249031.3579337;51596543.8891697;-337966609.791115;0.0122545497619446;0.00895757561550615;-0.059843592103876
-100;5457636370.89485;5723765950.54203;5351635457.88034;-22803163.2013048;-103288500.151862;-269060542.609176;-0.00417821226106457;-0.0180455492143387;-0.0502763210847968
-100.1875;5504788211.6106;5383575886.22945;5531690531.42259;23862595.7582826;-229902071.955869;-198985019.076943;0.00433487989745946;-0.0427043431381606;-0.0359718277706633
-100.033333333333;5385564605.78354;5437023553.51056;5512536594.64066;178675027.056386;144543.759218541;-332941475.269042;0.0331766565133222;0.0000265850897639044;-0.0603971455886082
-100.216666666667;5312688077.89513;5222522275.75171;5640553803.64615;226910299.902542;42794376.2660255;-302827965.939751;0.0427110149467769;0.00819419698116383;-0.0536876300593034
-99.2375;5209202982.35207;5322839875.9555;5621792717.89068;113044864.856438;46772217.313976;36222674.5960921;0.0217009905813645;0.00878707952971813;0.00644326043555782
-95.2791666666667;5529692445.38778;5301353494.26236;5529430419.81897;-243928157.933799;280559299.051152;38525007.9156374;-0.0441124276517866;0.0529222017273138;0.00696726515945537
-91.3375;5302783471.97489;5117746064.39334;5233701448.24344;-302468220.297846;186119567.843486;27509634.4441853;-0.0570395193196903;0.0363674878553297;0.00525624831989953
-86.9291666666667;5327049348.03254;5002054195.56564;5052610108.99531;-305185348.269808;269530238.439325;160615490.781053;-0.0572897542956915;0.05388391007004;0.0317886176285609
-82.9541666666667;5289875464.17139;4923190152.1417;5051294539.50927;-160719091.928137;198589796.589986;27840180.3390012;-0.0303823961483963;0.0403376246809389;0.00551149415684358
-78.8958333333333;5170925071.73004;4867592849.98611;4888226303.20146;-162385465.296543;263607690.033583;110856796.361301;-0.0314035618470515;0.0541556572535304;0.0226783273697245
-74.8708333333333;5109142910.17019;4792812968.50565;5033290868.29673;-220014075.885536;117576748.619477;117201855.923543;-0.0430628149875351;0.0245318875140951;0.0232853333912738
-71.0166666666667;4891100313.00246;4839377521.89988;4950591204.10105;-131229478.480277;316593302.800078;76034159.7268079;-0.0268302570142381;0.0654202531973135;0.0153586019511814
-67.0791666666667;4935640313.37031;4507068349.12921;4660244939.17183;-192972733.382523;203976259.949049;181216148.838041;-0.0390978112525285;0.0452569706400079;0.0388855416836191
-62.7666666666667;4797525622.77132;4570864055.75821;4675586545.91587;-124117739.877159;356860965.313416;51959450.2951767;-0.0258711989547356;0.0780729772227323;0.0111129266424473
-58.8916666666667;4724488072.04828;4354710412.52628;4586011724.57128;-99546631.2475155;311388836.955859;52942458.3773352;-0.0210703529629947;0.0715062099330767;0.0115443355920082
-55.0583333333333;4614598653.31888;4166351994.72307;4318070033.32653;-92784013.0356636;233678043.082392;190716854.3344;-0.0201066268176827;0.056086966098486;0.0441671517280782
-51.2;4400945748.76238;4109411510.13819;4299953903.65289;-4756405.29204008;235908510.268886;145998123.688897;-0.00108076889913439;0.0574068840968795;0.0339534160040341
-47.3375;4384578335.12995;3994490074.81428;4178126567.51085;-113863473.449299;236646834.665489;156029416.789487;-0.0259690818013231;0.0592433152250332;0.0373443490206289
-43.5625;4339411248.05769;3924878901.71228;4133002246.37793;-54034751.1419292;288796521.527803;142141490.171471;-0.0124520927040771;0.073581001799014;0.0343918250458347
-39.5208333333333;4307287918.69424;3837358714.87363;3894107315.01269;-73877273.2512468;266990636.153878;145581159.401916;-0.0171516914229506;0.0695766687432739;0.0373849890681406
-35.575;4137534192.77065;3771137871.28636;3938815958.3075;-32727885.9294475;307596159.091365;199845362.522972;-0.00790999769539828;0.0815658747014842;0.0507374207473368
-31.6583333333333;4101444732.1105;3634270011.84815;3860120479.16197;-50432574.2137258;267213500.792883;167357433.015279;-0.0122962949662312;0.073526045098943;0.0433554947102615
-27.8458333333333;3999373283.22067;3437400808.86806;3694769433.23932;30162949.5474629;306772580.432249;241101667.301791;0.00754191904866976;0.0892455077222343;0.0652548614083367
-23.9583333333333;3900413771.91421;3312058696.00314;3560037780.06911;10745570.1067154;326285833.202158;301690328.739693;0.00275498209551285;0.0985145080900609;0.0847435750341495
-20.1166666666667;3773909784.95729;3205793634.2834;3456569667.29082;33707247.4092211;279246582.454571;246691652.530941;0.00893165161063926;0.0871068491334728;0.0713689224508796
-15.975;3679422624.11043;3043280393.58554;3293893117.74319;67996410.9788336;364065386.79598;331112743.251145;0.0184801850522058;0.119629261754302;0.100523220218513
-12.2333333333333;3517887138.09649;2836707075.99508;3114263728.74897;70874980.5930933;284589253.684444;277703291.181862;0.0201470308201654;0.100323807168075;0.089171411084513
-8.12083333333333;3398951504.50332;2687992590.62356;2975449936.84156;87527182.8417926;266174239.03392;228699450.666611;0.0257512302619872;0.0990234273570573;0.0768621403556114
-4.27083333333333;3185891688.18368;2572162718.87211;2833780053.93456;116090169.463237;229521874.036869;242641937.146217;0.0364388312050313;0.0892330303805642;0.0856248306248471
-0.229166666666667;3064305451.07349;2457828638.803;2721352760.88613;145528584.977641;217859157.462102;232890002.873116;0.0474915400247255;0.0886388717352577;0.0855787629668718
3.62916666666667;2971886699.61226;2377803204.15338;2614550417.74739;132864859.750685;187134272.067705;216793253.846607;0.0447072426307569;0.078700487803546;0.0829179855836894
7.40833333333333;2880004391.84776;2314929945.95949;2578673695.75174;127415624.902451;188188410.23247;153829032.607677;0.0442414689585605;0.0812933499611669;0.0596543226314768
11.2833333333333;2767410009.55407;2207736508.46533;2433814680.63148;125532099.027551;177575767.161956;205799277.935877;0.045360860369143;0.0804334061066894;0.0845583189113153
15.4583333333333;2660341733.71533;2192366133.10226;2358630316.24173;144233340.799953;167802620.500229;176872699.732329;0.0542160952377056;0.0765395058638239;0.0749895812473742
19.3458333333333;2579913418.80445;2123413281.50013;2296312138.28765;136949535.604474;166201121.153413;171447689.634135;0.053082996741781;0.078270736366496;0.0746621884610087
22.9416666666667;2521776938.72754;2073320085.05037;2234285029.29246;130497191.418649;151384544.392742;175162211.278311;0.0517481103957181;0.0730155201236401;0.0783974331752025
26.9625;2458659098.28798;2010380433.79903;2162228522.53052;125948960.354333;156357435.591778;155768982.052967;0.0512266871165808;0.077775048425192;0.0720409431426173
31.2375;2374621225.94025;1954261195.23547;2104634151.64425;124679344.560792;141106670.995639;146253717.177554;0.052504939818949;0.072204611819372;0.0694912781222773
35.3625;2292214554.42447;1901589449.52845;2039460980.9344;122885018.559131;129947127.436471;133639920.224325;0.0536097366286837;0.0683360582741426;0.0655270787103249
39.2666666666667;2225256612.52374;1859232632.47537;1971775810.20177;111793019.851348;126727722.547582;121867590.597045;0.0502382598133523;0.0681613050104751;0.0618060075422946
43.0833333333333;2165697099.36212;1801983130.6876;1906941753.04165;104822632.266645;127119558.958771;122815207.053992;0.0484013356704033;0.070544255822342;0.0644042781370208
46.9;2064647946.41883;1747081585.46888;1851408126.3685;112232317.988925;120516353.248754;113912375.867419;0.0543590582518407;0.0689815256775254;0.0615274256632201
50.6458333333333;2021795210.39956;1684569962.38366;1805110781.91533;103143790.912408;116967750.197132;108435475.358507;0.0510159438413268;0.0694347832438037;0.0600713687186835
54.4625;1950790107.7611;1641867846.8888;1743371576.90822;105647423.284623;122750005.649022;112435867.65369;0.0541562225809485;0.0747624151856211;0.0644933467672388
58.275;1897079920.1161;1592673573.19358;1685872412.0246;103145855.881187;115974475.088207;97417908.4892941;0.0543708542731686;0.0728174793882328;0.0577848642604591
62.4125;1821811540.78515;1512316552.89545;1609017113.83623;99733951.5260447;122867258.192544;98541798.0973516;0.0547443845278651;0.0812444047890006;0.0612434741992318
66.325;1738682946.79978;1444872821.77186;1556307031.69747;90304754.4453973;127652648.220694;104342603.435124;0.0519385978976858;0.0883487088255646;0.0670449990329462
70.3833333333333;1686069988.49222;1351656372.77987;1455481896.10131;93078307.1819883;140190530.223233;105353505.429802;0.0552042962731484;0.103717581662351;0.0723839339479284
74.3041666666667;1583022804.12428;1216373924.56344;1335303672.99503;94622321.1187808;152895213.746842;112946091.393484;0.0597731889093822;0.125697543049286;0.0845845732904712
78.1125;1461873735.15674;1062536630.22593;1187519030.08051;104091330.107188;161406353.71658;125225287.429821;0.0712040497095516;0.151906625263601;0.105451183734994
81.975;1342415279.2705;860330886.045178;1020227585.4616;109463663.16485;192553856.911803;148399627.807807;0.0815423251323057;0.223813721017208;0.145457376297725
85.7833333333334;1199426750.03594;668297077.843127;869690895.255157;125049016.812995;205738783.878241;164440212.179048;0.104257318597612;0.307855279784022;0.189078916516429
89.8291666666667;1067740382.55115;463110476.57551;678131139.033476;137603508.539216;206796366.997667;181232240.009167;0.128873564012293;0.446537872619146;0.267252496718367
94.8458333333333;885161597.667247;216262431.031822;355892997.085599;160586876.879228;158236143.229803;189944393.243016;0.181420971382444;0.731685769344374;0.533712084245734
99.7458333333333;610937053.615356;56695512.917302;122326357.957021;172242334.40358;69542666.438969;114948966.154958;0.281931392742178;1.22659912329228;0.939690906152416
104.5625;326783038.660359;13298985.1140837;38547674.7277875;152385611.862514;19595084.4494843;51238250.0978871;0.466320444559227;1.47342705337214;1.3292176625365
109.316666666667;154995520.530714;5450038.90454235;14515319.1896267;118152201.55973;6422298.9064313;20535239.2841539;0.762294298281455;1.17839505715796;1.41472874387973
114.208333333333;64022423.8674405;3193727.6354286;6187736.06032841;70646582.8326471;2705484.63115484;7871951.19585437;1.1034662320646;0.847124407586422;1.27218600132672
119.295833333333;23959885.9021672;2183203.96743022;3862437.54326069;33835704.6784569;1322869.92664111;3645832.03623562;1.41218137751634;0.605930525217128;0.943919997514779
124.3;10969699.5362724;1684340.73838411;2619886.97370589;15771015.7596758;798878.325222592;2010666.10486796;1.43768894558392;0.47429733605387;0.767462919220453
129.15;6269179.93852141;1367989.31185273;2145241.88496299;7945047.99114264;581580.25482973;1207952.51123831;1.26731854390137;0.42513508679543;0.563084526600668
133.820833333333;4355727.88730874;1192617.40056143;1835096.0716787;4470744.77265885;478282.181425751;882070.10493235;1.02640589318842;0.401035722940651;0.480666989889775
138.629166666667;3149788.70760148;945230.28250853;1480702.54532427;2691647.42999433;351258.854595371;603347.76784304;0.85454856813046;0.371611935308686;0.407473985742969
143.1125;2515923.39840939;836036.845133868;1293277.70043496;1737890.15087581;396986.836413534;495333.942530003;0.690756384703341;0.474843709011375;0.383006636829361
147.579166666667;2131427.62602485;705675.546929701;1156552.12376291;1200248.11642445;373484.972779662;432164.416052117;0.563119339249126;0.529258771123138;0.373666181724733
152.033333333333;1884490.37471475;576097.721927007;1024362.6589512;901191.041777477;351301.368234041;409849.369397734;0.478214722595168;0.609794753325812;0.400101825087376
156.4125;1620369.81024995;414094.355489848;931805.047363269;680313.861364867;254737.791357315;368718.518575596;0.419850985288307;0.615168470615776;0.395703500017477
160.65;1394048.2629739;325216.30951501;801673.588329688;517794.765025675;219015.18054567;347050.195994991;0.371432452360776;0.673444640191276;0.432907109635582
164.870833333333;1297207.11712047;305343.039187292;702567.705431352;509529.741520758;272333.743987811;338797.867311269;0.392789813435349;0.891894391018904;0.482228068116593
169.291666666667;1238064.36504493;187985.80632426;479896.068771929;436459.888188069;171045.521556111;285424.131355166;0.352534085069341;0.909885298792571;0.594762386959278
173.808333333333;1083188.74178016;183382.853850152;498520.741927217;472472.306898988;201215.742331301;299088.825029276;0.436186500722399;1.09724403403451;0.599952619570124
178.283333333333;945069.484681526;156597.166389724;429557.178631231;428700.644187207;172360.772061983;268507.257232359;0.453618121350805;1.10066341579277;0.62507919920684
182.654166666667;854832.19494511;129987.150302394;335486.987777742;386550.475934731;140197.247049054;270500.975553116;0.452194568969822;1.07854696962667;0.806293493959059
187.141666666667;781353.228971259;119679.204022327;296934.879997189;333244.682311257;114318.151889225;254594.342017183;0.42649683901609;0.955204814596681;0.857408001443254
191.4125;834570.456002543;32223.5096456144;246657.853825657;434345.806066828;29069.5618913194;203533.124899084;0.520442346051014;0.902122773435255;0.825163771363003
195.8;630015.825109985;87690.9191465173;188563.897974641;389078.333654969;82255.0839584793;214843.373688679;0.617569143738644;0.938011424205105;1.13936642165497
